Mutant,org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testTrivial],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testQRColumnsPermutation],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testIllConditioned],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testInconsistentEquations],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testOneSet],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testRedundantEquations],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testQRColumnsPermutation],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testTwoSets],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testMoreEstimatedParametersUnsorted],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testIllConditioned],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testInconsistentEquations],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testRedundantEquations],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testTwoSets],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testMoreEstimatedParametersSimple],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testMoreEstimatedParametersUnsorted],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testNonInversible],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testCircleFitting],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testBoundParameters],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testMoreEstimatedParametersSimple],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testOneSet],org.apache.commons.math.estimation.MinpackTest[testMinpackRosenbrok],org.apache.commons.math.estimation.MinpackTest[testMinpackBox3Dimensional],org.apache.commons.math.estimation.MinpackTest[testMinpackHelicalValley],org.apache.commons.math.estimation.MinpackTest[testMinpackFreudensteinRoth],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testTrivial],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testMath199],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testControlParameters],org.apache.commons.math.estimation.MinpackTest[testMinpackJennrichSampson],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testNonInversible],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testCircleFittingBadInit],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testMaxIterations],org.apache.commons.math.estimation.MinpackTest[testMinpackLinearFullRank],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testNoDependency],org.apache.commons.math.estimation.MinpackTest[testMinpackLinearRank1ZeroColsAndRows],org.apache.commons.math.estimation.MinpackTest[testMinpackPowellSingular],org.apache.commons.math.estimation.MinpackTest[testMinpackBard],org.apache.commons.math.estimation.MinpackTest[testMinpackLinearRank1],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testNoDependency],org.apache.commons.math.estimation.MinpackTest[testMinpackChebyquad],org.apache.commons.math.estimation.MinpackTest[testMinpackOsborne1],org.apache.commons.math.estimation.MinpackTest[testMinpackKowalikOsborne],org.apache.commons.math.estimation.MinpackTest[testMinpackMeyer],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testCircleFittingBadInit],org.apache.commons.math.estimation.MinpackTest[testMinpackWatson],org.apache.commons.math.estimation.MinpackTest[testMinpackOsborne2],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testCircleFitting],org.apache.commons.math.estimation.MinpackTest[testMinpackBrownDennis],org.apache.commons.math.estimation.MinpackTest[testMinpackBrownAlmostLinear],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test08],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test07],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test05],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test09],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test06],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test02],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test11],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test10],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test03],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test04],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test00],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test01],Total,Equiv?
46,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, , , ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,PASS, , , ,PASS, ,PASS, , ,34,
47,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, , , ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,PASS, , , ,PASS, ,PASS, , ,30,
48,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC, , , ,EXC, , , ,EXC, ,EXC, , ,48,
49,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, , ,0,
5, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS, , , ,PASS, ,PASS, ,PASS, , , , ,0,
50,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, , ,0,
51,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, , ,0,
52,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC, , , ,EXC, , , ,EXC, ,PASS, , ,47,
53,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, , , ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,EXC, , , ,EXC, ,PASS, , ,36,
54,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, , , ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,PASS, , , ,PASS, ,PASS, , ,34,
55,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, , , ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,EXC, , , ,EXC, ,PASS, , ,36,
56,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, , , ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,PASS, , , ,PASS, ,PASS, , ,34,
57,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC, , , ,EXC, , , ,EXC, ,PASS, , ,47,
58,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC, , , , , , , , , ,PASS, , ,45,
59,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, , , ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , ,PASS, , ,34,
6, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS, , , ,PASS, ,PASS, ,PASS, , , , ,0,
60,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,EXC,PASS,PASS, , , ,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,EXC,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,32,
61,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, , , ,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL, , , , , , , , , , , , ,29,
62,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, , , ,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,31,
63,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,EXC,FAIL,EXC,PASS,PASS, , , ,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL,EXC,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,29,
64,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, , , ,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,31,
65,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,EXC,FAIL,EXC,EXC,PASS,PASS, , , ,FAIL,PASS,EXC,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,EXC,FAIL,PASS,EXC,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,33,
66,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS, , , ,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL, , , , , , , , , , , , ,17,
67,PASS,PASS,PASS,PASS,PASS,FAIL,EXC,EXC,EXC,EXC,PASS,PASS,PASS, , , ,FAIL,PASS,EXC,FAIL,FAIL,FAIL,FAIL,FAIL,EXC,PASS,FAIL,FAIL,FAIL,EXC,FAIL,FAIL,EXC,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,TIME,EXC,FAIL,FAIL, , , , , , , , , , , , ,34,
68,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,EXC,PASS,PASS, , , ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,EXC,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,35,
69,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,EXC,PASS,PASS, , , ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,EXC,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,35,
7, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS, , , ,PASS, ,PASS, ,PASS, , , , ,0,
70,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,EXC,PASS,PASS,PASS, , , ,FAIL,PASS,EXC,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,TIME,EXC,FAIL,FAIL, , , , , , , , , , , , ,25,
71,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, , , ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,34,
72,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,EXC,PASS,PASS, , , ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,EXC,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,35,
73,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, , , ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,34,
74,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL, , , ,PASS, , , ,PASS, , , , ,15,
75,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC, , ,EXC, ,PASS, , , , , , , ,42,
76,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , ,FAIL,PASS,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , ,FAIL, ,PASS, , , , , , , ,39,
77,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , ,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , ,PASS, ,PASS, , , , , , , ,41,
78,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , ,FAIL,PASS,FAIL, ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , ,PASS, ,FAIL, , , , , , , ,22,
79,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC, , ,EXC, ,EXC, , , , , , , ,43,
8, , , , , ,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , , , , , ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,PASS, ,FAIL, ,PASS, , , , ,31,
80,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS, , ,PASS, ,PASS, , , , , , , ,0,
81,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC, , ,EXC, ,PASS, , , , , , , ,42,
82,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS, , , ,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , ,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , ,EXC, ,FAIL, , , , , , , ,26,
83,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS, , , ,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , ,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , ,PASS, ,FAIL, , , , , , , ,25,
84,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS, , , ,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , ,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , ,EXC, ,FAIL, , , , , , , ,26,
85,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS, , , ,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , ,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , ,PASS, ,FAIL, , , , , , , ,25,
86,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC, , ,EXC, ,PASS, , , , , , , ,42,
87,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS, , , ,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , ,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,PASS, , , , , , , ,24,
88,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , ,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,41,
89,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS, , , ,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , ,FAIL,PASS,PASS, ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,PASS,FAIL,FAIL, , , , , , , , , , , , ,20,
9, , , , , ,EXC,EXC,EXC,EXC,EXC,EXC, , , , , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC, , , ,EXC, ,EXC, ,EXC, , , , ,37,
90,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL, , , ,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS, , ,FAIL,FAIL,FAIL, ,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,27,
91,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , ,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,39,
92,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , ,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , , , , , ,41,
